region_code,reference_year,avg_summer_temperature,heatwave_intensity,heatwave_history_index,source,is_sample
21010510,2024,28.4,28.4,26.0,시연용 합성 데이터,True
21010520,2024,27.4,27.4,37.0,시연용 합성 데이터,True
21010530,2024,30.5,30.5,10.0,시연용 합성 데이터,True
21010540,2024,29.9,29.9,28.0,시연용 합성 데이터,True
21010560,2024,28.1,28.1,24.0,시연용 합성 데이터,True
21010570,2024,30.7,30.7,20.0,시연용 합성 데이터,True
21010580,2024,30.4,30.4,30.0,시연용 합성 데이터,True
21010590,2024,26.5,26.5,6.0,시연용 합성 데이터,True
21010600,2024,30.6,30.6,5.0,시연용 합성 데이터,True
21020510,2024,30.0,30.0,10.0,시연용 합성 데이터,True
21020520,2024,28.8,28.8,19.0,시연용 합성 데이터,True
21020530,2024,31.2,31.2,35.0,시연용 합성 데이터,True
21020540,2024,28.9,28.9,33.0,시연용 합성 데이터,True
21020560,2024,27.6,27.6,13.0,시연용 합성 데이터,True
21020570,2024,28.9,28.9,22.0,시연용 합성 데이터,True
21020590,2024,30.1,30.1,36.0,시연용 합성 데이터,True
21020610,2024,30.4,30.4,9.0,시연용 합성 데이터,True
21020630,2024,28.2,28.2,19.0,시연용 합성 데이터,True
21020640,2024,31.0,31.0,6.0,시연용 합성 데이터,True
21020650,2024,27.3,27.3,25.0,시연용 합성 데이터,True
21020680,2024,30.6,30.6,19.0,시연용 합성 데이터,True
21020690,2024,28.9,28.9,37.0,시연용 합성 데이터,True
21030510,2024,27.7,27.7,9.0,시연용 합성 데이터,True
21030520,2024,28.9,28.9,13.0,시연용 합성 데이터,True
21030530,2024,29.1,29.1,10.0,시연용 합성 데이터,True
21030550,2024,26.7,26.7,5.0,시연용 합성 데이터,True
21030560,2024,30.7,30.7,11.0,시연용 합성 데이터,True
21030570,2024,30.5,30.5,28.0,시연용 합성 데이터,True
21030590,2024,31.3,31.3,27.0,시연용 합성 데이터,True
21030600,2024,27.7,27.7,34.0,시연용 합성 데이터,True
21030660,2024,26.7,26.7,8.0,시연용 합성 데이터,True
21030680,2024,27.4,27.4,16.0,시연용 합성 데이터,True
21030700,2024,30.2,30.2,39.0,시연용 합성 데이터,True
21030710,2024,31.3,31.3,23.0,시연용 합성 데이터,True
21040530,2024,26.6,26.6,5.0,시연용 합성 데이터,True
21040540,2024,31.0,31.0,20.0,시연용 합성 데이터,True
21040550,2024,30.5,30.5,13.0,시연용 합성 데이터,True
21040590,2024,27.8,27.8,22.0,시연용 합성 데이터,True
21040630,2024,30.4,30.4,40.0,시연용 합성 데이터,True
21040640,2024,31.5,31.5,22.0,시연용 합성 데이터,True
21040650,2024,31.0,31.0,32.0,시연용 합성 데이터,True
21040660,2024,26.9,26.9,29.0,시연용 합성 데이터,True
21040670,2024,27.5,27.5,36.0,시연용 합성 데이터,True
21040680,2024,30.4,30.4,12.0,시연용 합성 데이터,True
21040690,2024,30.3,30.3,31.0,시연용 합성 데이터,True
21050520,2024,29.4,29.4,39.0,시연용 합성 데이터,True
21050540,2024,28.5,28.5,6.0,시연용 합성 데이터,True
21050550,2024,26.9,26.9,29.0,시연용 합성 데이터,True
21050560,2024,27.3,27.3,15.0,시연용 합성 데이터,True
21050570,2024,26.8,26.8,23.0,시연용 합성 데이터,True
21050610,2024,31.5,31.5,28.0,시연용 합성 데이터,True
21050640,2024,30.9,30.9,10.0,시연용 합성 데이터,True
21050660,2024,30.0,30.0,6.0,시연용 합성 데이터,True
21050680,2024,29.5,29.5,38.0,시연용 합성 데이터,True
21050700,2024,29.4,29.4,26.0,시연용 합성 데이터,True
21050720,2024,29.5,29.5,23.0,시연용 합성 데이터,True
21050740,2024,31.4,31.4,14.0,시연용 합성 데이터,True
21050750,2024,29.9,29.9,27.0,시연용 합성 데이터,True
21050760,2024,31.5,31.5,5.0,시연용 합성 데이터,True
21050770,2024,27.6,27.6,36.0,시연용 합성 데이터,True
21050800,2024,26.8,26.8,40.0,시연용 합성 데이터,True
21050810,2024,26.9,26.9,23.0,시연용 합성 데이터,True
21050820,2024,29.1,29.1,26.0,시연용 합성 데이터,True
21050830,2024,29.5,29.5,17.0,시연용 합성 데이터,True
21050840,2024,31.1,31.1,38.0,시연용 합성 데이터,True
21060510,2024,27.8,27.8,25.0,시연용 합성 데이터,True
21060520,2024,29.7,29.7,25.0,시연용 합성 데이터,True
