region_code,reference_year,total_population,population_density,elderly_population,elderly_ratio,source,is_sample
21010510,2024,19756.0,7254.23,5739.0,29.04940271309982,시연용 합성 데이터,True
21010520,2024,8925.0,10039.29,3784.0,42.397759103641455,시연용 합성 데이터,True
21010530,2024,9347.0,12836.77,1694.0,18.12346207339253,시연용 합성 데이터,True
21010540,2024,11931.0,18255.45,2403.0,20.140809655519234,시연용 합성 데이터,True
21010560,2024,24906.0,17611.72,9334.0,37.47691319360796,시연용 합성 데이터,True
21010570,2024,33988.0,10837.72,6496.0,19.112627986348123,시연용 합성 데이터,True
21010580,2024,17660.0,3298.21,6205.0,35.13590033975085,시연용 합성 데이터,True
21010590,2024,26607.0,19887.3,8033.0,30.191303040553237,시연용 합성 데이터,True
21010600,2024,16151.0,10257.54,4745.0,29.378985821311375,시연용 합성 데이터,True
21020510,2024,20490.0,14403.56,8486.0,41.41532454856027,시연용 합성 데이터,True
21020520,2024,37513.0,17228.7,8891.0,23.701116946125346,시연용 합성 데이터,True
21020530,2024,13537.0,20212.26,2141.0,15.81591194503952,시연용 합성 데이터,True
21020540,2024,35703.0,7064.83,4109.0,11.508836792426406,시연용 합성 데이터,True
21020560,2024,23695.0,8933.55,8464.0,35.72061616374763,시연용 합성 데이터,True
21020570,2024,16330.0,3651.97,6268.0,38.38334353949786,시연용 합성 데이터,True
21020590,2024,21815.0,4973.94,4373.0,20.04584001833601,시연용 합성 데이터,True
21020610,2024,7597.0,6962.2,2910.0,38.3045939186521,시연용 합성 데이터,True
21020630,2024,9481.0,7312.78,3017.0,31.82153781246704,시연용 합성 데이터,True
21020640,2024,14543.0,11543.49,5953.0,40.933782575809666,시연용 합성 데이터,True
21020650,2024,5071.0,11831.27,1751.0,34.529678564385726,시연용 합성 데이터,True
21020680,2024,31406.0,20876.52,12091.0,38.49901292746609,시연용 합성 데이터,True
21020690,2024,20774.0,10142.14,4294.0,20.67006835467411,시연용 합성 데이터,True
21030510,2024,17002.0,10722.12,5494.0,32.31384542994942,시연용 합성 데이터,True
21030520,2024,8765.0,1387.14,3724.0,42.48716486023959,시연용 합성 데이터,True
21030530,2024,14576.0,14133.24,5484.0,37.62349066959385,시연용 합성 데이터,True
21030550,2024,33839.0,22715.54,5754.0,17.00404858299595,시연용 합성 데이터,True
21030560,2024,27869.0,3183.58,10522.0,37.75521188417238,시연용 합성 데이터,True
21030570,2024,37937.0,9387.2,14345.0,37.81268945883966,시연용 합성 데이터,True
21030590,2024,25204.0,8531.07,9425.0,37.394857959054114,시연용 합성 데이터,True
21030600,2024,13117.0,21800.92,2718.0,20.72120149424411,시연용 합성 데이터,True
21030660,2024,6374.0,16010.24,2062.0,32.35017257609037,시연용 합성 데이터,True
21030680,2024,4594.0,7676.14,1883.0,40.98824553765781,시연용 합성 데이터,True
21030700,2024,7190.0,9603.06,2979.0,41.43254520166899,시연용 합성 데이터,True
21030710,2024,22097.0,20387.5,3979.0,18.006969271846856,시연용 합성 데이터,True
21040530,2024,24104.0,6849.28,8987.0,37.284268171257885,시연용 합성 데이터,True
21040540,2024,23021.0,16574.65,7062.0,30.676338994830804,시연용 합성 데이터,True
21040550,2024,11594.0,931.55,4614.0,39.79644643781266,시연용 합성 데이터,True
21040590,2024,35132.0,4156.38,8848.0,25.185016509165433,시연용 합성 데이터,True
21040630,2024,37380.0,19620.62,11957.0,31.987693953986092,시연용 합성 데이터,True
21040640,2024,24849.0,14299.97,7823.0,31.482152199283675,시연용 합성 데이터,True
21040650,2024,9777.0,1607.21,1158.0,11.84412396440626,시연용 합성 데이터,True
21040660,2024,30517.0,14810.48,11968.0,39.21748533604221,시연용 합성 데이터,True
21040670,2024,20285.0,10791.29,6049.0,29.82006408676362,시연용 합성 데이터,True
21040680,2024,10183.0,9781.21,4291.0,42.138858882451146,시연용 합성 데이터,True
21040690,2024,14173.0,8294.06,3813.0,26.903266774853595,시연용 합성 데이터,True
21050520,2024,37658.0,16358.04,15974.0,42.41860959158745,시연용 합성 데이터,True
21050540,2024,20002.0,2324.61,7882.0,39.40605939406059,시연용 합성 데이터,True
21050550,2024,5085.0,18074.15,1187.0,23.34316617502458,시연용 합성 데이터,True
21050560,2024,13023.0,7750.32,4085.0,31.36758043461568,시연용 합성 데이터,True
21050570,2024,34002.0,10242.16,5690.0,16.7343097464855,시연용 합성 데이터,True
21050610,2024,31842.0,12553.83,11904.0,37.38458639532693,시연용 합성 데이터,True
21050640,2024,14079.0,1317.47,4841.0,34.38454435684353,시연용 합성 데이터,True
21050660,2024,11552.0,17417.51,3536.0,30.60941828254848,시연용 합성 데이터,True
21050680,2024,28086.0,22260.05,3461.0,12.322865484583065,시연용 합성 데이터,True
21050700,2024,30644.0,1418.05,6733.0,21.971674716094505,시연용 합성 데이터,True
21050720,2024,19815.0,15362.32,7309.0,36.88619732525864,시연용 합성 데이터,True
21050740,2024,7581.0,22418.76,2168.0,28.59781031526184,시연용 합성 데이터,True
21050750,2024,5798.0,14201.93,1433.0,24.715419110037946,시연용 합성 데이터,True
21050760,2024,26171.0,21844.63,8911.0,34.04913835925261,시연용 합성 데이터,True
21050770,2024,25238.0,10195.39,6852.0,27.149536413344954,시연용 합성 데이터,True
21050800,2024,4577.0,13837.81,931.0,20.340834607821716,시연용 합성 데이터,True
21050810,2024,10269.0,17152.44,4241.0,41.29905540948486,시연용 합성 데이터,True
21050820,2024,15230.0,4192.99,1563.0,10.26263952724885,시연용 합성 데이터,True
21050830,2024,26005.0,14035.7,5757.0,22.138050374927897,시연용 합성 데이터,True
21050840,2024,4551.0,6545.23,1080.0,23.731048121292023,시연용 합성 데이터,True
21060510,2024,18392.0,8266.05,5921.0,32.19334493257938,시연용 합성 데이터,True
21060520,2024,11879.0,5584.61,4440.0,37.37688357605859,시연용 합성 데이터,True
21060550,2024,22790.0,21048.9,9561.0,41.952610794207985,시연용 합성 데이터,True
21060560,2024,27105.0,4359.29,10284.0,37.941339236303264,시연용 합성 데이터,True
21060570,2024,8095.0,9609.14,3032.0,37.45521927115503,시연용 합성 데이터,True
